ph,Hardness,Solids,Chloramines,Sulfate,Conductivity,Organic_carbon,Trihalomethanes,Turbidity,Potability
medium,medium,medium,medium,medium,medium,medium,medium,medium,1
medium,medium,medium,high,medium,medium,medium,medium,medium,1
medium,medium,medium,low,medium,low,medium,medium,medium,1
medium,high,low,high,medium,medium,medium,medium,low,0
medium,medium,low,medium,medium,medium,medium,high,medium,0
medium,medium,low,medium,low,medium,medium,medium,medium,0
medium,medium,medium,medium,high,low,medium,high,medium,0
medium,medium,low,medium,low,high,medium,medium,low,0
medium,medium,medium,high,medium,medium,medium,medium,medium,0
medium,medium,medium,medium,medium,medium,medium,medium,low,0
low,high,low,low,medium,medium,medium,low,medium,0
medium,medium,low,medium,medium,medium,high,medium,low,0
medium,medium,low,medium,medium,medium,medium,medium,medium,0
medium,medium,low,low,low,low,low,medium,medium,0
medium,medium,medium,medium,medium,medium,medium,medium,low,0
medium,medium,medium,medium,medium,low,medium,medium,medium,0
low,low,low,high,low,medium,low,medium,high,0
medium,medium,low,high,medium,low,medium,medium,medium,0
medium,medium,high,medium,medium,medium,medium,medium,medium,0
medium,medium,medium,high,medium,medium,medium,medium,medium,0
low,medium,low,medium,medium,medium,medium,medium,medium,0
high,high,high,low,low,medium,medium,medium,medium,0
medium,medium,low,medium,medium,medium,medium,medium,high,0
medium,high,low,medium,medium,medium,medium,medium,medium,0
low,medium,low,medium,medium,low,medium,high,medium,0
medium,high,low,medium,low,medium,medium,low,high,0
medium,medium,medium,medium,medium,medium,medium,medium,low,0
medium,medium,medium,medium,medium,medium,medium,medium,medium,0
low,medium,medium,medium,low,medium,low,medium,medium,0
low,low,medium,medium,low,medium,low,high,medium,0
high,high,low,medium,medium,low,medium,medium,medium,0
medium,medium,medium,medium,medium,low,medium,high,medium,0
medium,medium,medium,medium,low,medium,medium,medium,low,0
medium,high,low,medium,low,low,medium,low,low,0
medium,medium,medium,medium,medium,high,medium,low,medium,0
high,high,low,low,medium,medium,medium,high,medium,0
low,medium,low,medium,medium,high,medium,medium,medium,0
medium,medium,low,medium,medium,medium,medium,medium,medium,0
low,medium,low,high,medium,medium,medium,medium,medium,0
medium,medium,medium,medium,medium,medium,medium,medium,medium,0
medium,medium,high,low,medium,medium,medium,low,high,0
low,medium,low,medium,low,medium,medium,medium,low,0
medium,medium,medium,medium,medium,medium,medium,medium,medium,0
low,medium,medium,medium,medium,medium,medium,medium,medium,0
medium,medium,medium,medium,low,medium,medium,medium,medium,0
medium,medium,medium,medium,medium,medium,medium,medium,high,0
medium,medium,medium,medium,medium,medium,medium,medium,medium,0
medium,medium,low,medium,high,low,medium,medium,medium,0
medium,medium,low,medium,medium,medium,medium,medium,low,0
medium,medium,low,medium,medium,low,medium,medium,medium,0
medium,medium,low,medium,medium,high,medium,low,medium,0
high,high,low,medium,medium,medium,medium,high,medium,0
low,medium,medium,low,medium,low,medium,low,medium,0
medium,high,low,medium,low,medium,medium,medium,medium,0
high,medium,low,low,low,medium,medium,medium,medium,0
high,high,low,medium,medium,medium,medium,medium,medium,0
high,high,low,medium,medium,medium,medium,medium,medium,0
medium,medium,low,medium,medium,medium,medium,high,medium,0
low,medium,medium,medium,medium,medium,low,medium,high,0
low,medium,low,medium,medium,medium,medium,medium,medium,0
low,high,medium,medium,medium,medium,medium,medium,low,0
low,medium,medium,medium,low,medium,medium,medium,medium,0
medium,medium,medium,high,medium,medium,medium,medium,medium,0
medium,high,low,high,medium,medium,medium,medium,medium,0
medium,high,low,high,medium,low,medium,low,medium,0
medium,medium,medium,medium,high,medium,medium,low,medium,0
low,medium,low,medium,low,medium,low,medium,medium,0
medium,medium,medium,medium,medium,high,medium,medium,medium,0
medium,medium,medium,medium,medium,medium,medium,low,medium,0
low,medium,medium,low,medium,medium,low,medium,medium,0
low,medium,medium,medium,medium,medium,medium,medium,medium,0
medium,medium,medium,medium,medium,medium,medium,medium,medium,0
medium,medium,low,medium,medium,medium,medium,low,medium,0
medium,medium,low,medium,medium,medium,high,medium,medium,0
medium,medium,low,medium,medium,low,low,medium,medium,0
medium,medium,low,medium,high,medium,low,medium,medium,0
medium,medium,medium,medium,medium,medium,medium,medium,medium,0
low,medium,medium,low,medium,medium,medium,medium,low,0
medium,medium,medium,low,medium,high,medium,medium,low,0
high,high,low,medium,medium,medium,medium,high,low,0
medium,medium,high,medium,medium,low,medium,medium,medium,0
medium,medium,medium,medium,medium,medium,medium,high,high,0
medium,medium,medium,high,medium,medium,medium,medium,medium,0
medium,medium,low,high,medium,medium,medium,medium,medium,0
medium,medium,medium,medium,high,high,medium,medium,medium,0
medium,medium,medium,high,medium,medium,medium,medium,high,0
medium,medium,high,medium,medium,low,medium,medium,medium,0
medium,medium,low,medium,low,medium,medium,medium,medium,0
low,medium,medium,medium,medium,low,medium,medium,low,0
low,medium,medium,medium,medium,medium,low,medium,medium,0
medium,medium,medium,medium,medium,medium,medium,medium,medium,0
medium,high,low,medium,high,low,medium,high,medium,0
medium,medium,medium,medium,low,low,medium,medium,medium,0
medium,medium,low,medium,high,low,medium,medium,medium,0
medium,medium,low,medium,medium,medium,medium,medium,medium,0
high,high,low,medium,medium,medium,medium,low,medium,0
medium,medium,medium,medium,low,low,medium,medium,medium,0
low,high,medium,medium,medium,medium,medium,medium,high,0
medium,medium,medium,medium,low,medium,low,high,high,0
medium,medium,medium,medium,medium,medium,medium,medium,medium,0
medium,medium,medium,medium,medium,medium,medium,medium,medium,0
medium,medium,medium,medium,medium,low,medium,medium,medium,0
medium,medium,low,medium,medium,medium,medium,medium,medium,0
medium,medium,medium,medium,medium,medium,high,medium,low,0
medium,medium,low,high,medium,medium,medium,medium,medium,0
medium,medium,low,high,medium,medium,high,low,medium,0
medium,medium,medium,medium,medium,medium,medium,medium,medium,0
medium,medium,low,medium,medium,medium,medium,medium,high,0
medium,medium,low,high,low,medium,low,medium,medium,0
medium,medium,medium,low,medium,medium,medium,medium,medium,0
medium,medium,medium,low,low,medium,medium,medium,medium,0
medium,medium,medium,medium,medium,medium,medium,medium,low,0
low,low,medium,medium,high,low,medium,medium,medium,0
low,medium,low,medium,high,medium,medium,medium,medium,0
medium,medium,low,high,low,medium,medium,high,high,0
high,high,low,medium,high,high,medium,medium,medium,0
medium,medium,low,medium,low,medium,low,medium,medium,0
low,medium,low,medium,high,medium,medium,low,medium,0
medium,medium,low,medium,medium,medium,medium,medium,low,0
medium,medium,medium,medium,medium,medium,medium,medium,medium,0
medium,medium,medium,medium,high,medium,medium,medium,medium,0
medium,high,low,medium,medium,medium,low,medium,low,0
medium,medium,low,medium,medium,medium,medium,medium,medium,0
medium,medium,low,high,medium,medium,medium,medium,medium,0
medium,medium,low,high,medium,medium,medium,medium,medium,0
medium,medium,low,medium,medium,low,medium,medium,medium,0
low,high,low,medium,medium,medium,medium,high,medium,0
medium,medium,medium,medium,medium,low,medium,medium,medium,0
medium,medium,medium,medium,low,high,medium,low,medium,0
high,high,medium,low,low,medium,medium,medium,high,0
medium,medium,low,medium,medium,high,medium,low,medium,0
medium,medium,medium,medium,high,medium,low,medium,medium,0
medium,medium,low,medium,medium,medium,medium,medium,medium,0
low,medium,low,medium,high,low,medium,medium,medium,0
low,medium,medium,medium,medium,medium,medium,medium,medium,0
low,medium,low,medium,low,medium,medium,medium,medium,0
medium,medium,low,high,medium,low,medium,medium,high,0
medium,medium,low,medium,medium,low,medium,medium,low,0
medium,medium,low,medium,high,low,medium,medium,high,0
low,medium,medium,medium,low,high,medium,medium,medium,0
medium,medium,low,medium,low,low,medium,medium,medium,0
high,high,medium,medium,medium,medium,low,low,medium,0
medium,medium,low,medium,low,medium,low,high,medium,0
low,medium,low,medium,low,low,medium,medium,medium,0
high,high,low,medium,low,low,high,medium,medium,0
low,medium,high,low,medium,medium,medium,medium,medium,0
medium,medium,low,medium,medium,medium,medium,medium,medium,0
low,high,medium,medium,high,medium,medium,medium,medium,0
medium,medium,medium,medium,low,low,medium,medium,medium,0
low,low,low,medium,medium,low,low,medium,medium,0
medium,high,medium,medium,low,low,medium,medium,high,0
low,high,medium,medium,medium,medium,low,high,medium,0
medium,medium,low,high,high,medium,medium,medium,high,0
medium,medium,high,medium,low,medium,medium,medium,medium,0
medium,medium,low,high,low,medium,medium,medium,medium,0
low,low,low,medium,medium,medium,medium,medium,medium,0
medium,high,low,high,low,medium,medium,medium,medium,0
medium,medium,low,high,high,low,medium,medium,medium,0
medium,medium,low,medium,high,medium,medium,low,medium,0
low,medium,medium,medium,medium,medium,low,medium,medium,0
medium,medium,low,medium,medium,low,medium,high,medium,0
low,low,medium,medium,medium,medium,medium,medium,medium,0
medium,medium,low,medium,medium,medium,medium,high,medium,0
medium,medium,medium,medium,medium,medium,medium,medium,high,0
medium,medium,low,medium,medium,medium,high,medium,low,0
medium,medium,high,low,medium,medium,medium,medium,medium,0
high,high,medium,medium,medium,medium,medium,medium,medium,0
low,medium,medium,low,medium,medium,medium,medium,medium,0
medium,medium,medium,high,low,medium,medium,medium,medium,0
medium,medium,low,medium,medium,low,medium,medium,low,0
low,medium,medium,medium,low,low,medium,low,low,0
medium,medium,medium,medium,medium,medium,medium,medium,low,0
medium,medium,low,medium,low,medium,medium,medium,medium,0
high,high,low,high,medium,medium,high,high,high,0
low,low,low,medium,medium,low,medium,medium,medium,0
high,high,low,high,medium,medium,medium,medium,medium,0
medium,medium,low,medium,medium,high,medium,low,medium,0
medium,medium,medium,medium,medium,medium,medium,medium,medium,0
medium,high,medium,medium,medium,medium,medium,high,medium,0
medium,medium,low,high,medium,low,low,medium,medium,0
medium,medium,low,medium,high,medium,low,medium,high,0
medium,medium,medium,medium,low,medium,low,medium,medium,0
medium,medium,low,medium,medium,high,medium,high,medium,0
high,medium,low,medium,low,low,medium,high,medium,0
low,medium,low,medium,low,medium,medium,medium,medium,0
medium,medium,low,medium,medium,medium,medium,medium,medium,0
medium,medium,low,high,low,low,medium,medium,medium,0
medium,medium,low,medium,medium,medium,medium,medium,medium,0
medium,medium,low,medium,low,high,high,low,medium,0
high,high,low,medium,low,medium,medium,medium,medium,0
medium,high,low,high,medium,medium,medium,medium,high,0
low,low,medium,medium,low,medium,medium,medium,medium,0
medium,medium,medium,medium,low,medium,medium,medium,medium,0
medium,high,low,medium,medium,medium,medium,medium,medium,0
medium,medium,medium,medium,high,medium,medium,medium,medium,0
medium,medium,medium,medium,low,low,medium,medium,medium,0
medium,medium,low,high,medium,medium,medium,high,high,0
medium,medium,low,medium,medium,medium,medium,medium,medium,0
low,medium,low,medium,low,high,low,high,medium,0
medium,medium,low,medium,low,medium,medium,medium,low,0
medium,high,low,high,low,medium,medium,high,medium,0
medium,medium,low,medium,medium,medium,medium,medium,medium,0
medium,low,medium,medium,low,medium,medium,medium,medium,0
medium,high,low,low,medium,medium,medium,low,low,0
medium,medium,low,medium,medium,medium,medium,low,low,0
medium,medium,medium,medium,medium,medium,medium,medium,low,0
low,medium,low,high,low,medium,low,medium,medium,0
medium,medium,medium,medium,medium,medium,medium,medium,low,0
medium,medium,medium,medium,low,medium,medium,medium,medium,0
medium,medium,low,medium,medium,low,medium,medium,medium,0
high,high,low,medium,medium,medium,high,medium,low,0
low,low,low,medium,medium,medium,medium,medium,high,0
medium,high,low,medium,medium,low,medium,medium,medium,0
high,high,medium,medium,medium,low,medium,low,high,0
medium,medium,low,high,high,low,medium,low,medium,0
medium,medium,low,high,medium,low,medium,medium,medium,0
medium,medium,medium,medium,medium,medium,medium,medium,low,0
medium,medium,medium,medium,medium,medium,medium,medium,medium,0
medium,medium,low,medium,medium,medium,low,medium,medium,0
medium,medium,low,medium,medium,low,medium,medium,medium,0
low,high,low,low,medium,medium,medium,medium,high,0
medium,medium,low,medium,low,medium,medium,high,medium,0
medium,high,low,medium,medium,low,medium,medium,medium,0
medium,medium,high,medium,medium,low,low,medium,medium,0
low,low,low,high,medium,medium,low,medium,medium,0
medium,medium,low,medium,medium,medium,medium,medium,medium,0
medium,medium,medium,high,low,medium,medium,high,medium,0
medium,low,medium,medium,medium,high,medium,medium,medium,0
medium,high,medium,medium,medium,medium,medium,medium,high,0
medium,medium,low,medium,medium,medium,medium,medium,medium,0
medium,medium,medium,low,medium,medium,medium,high,medium,0
medium,medium,low,high,medium,medium,medium,medium,medium,0
medium,medium,low,medium,medium,medium,medium,high,low,0
medium,high,low,low,low,medium,medium,medium,medium,0
low,high,medium,medium,medium,medium,medium,medium,medium,0
low,medium,low,medium,medium,medium,medium,medium,medium,0
low,medium,medium,medium,medium,medium,medium,low,medium,0
low,medium,medium,high,medium,high,low,medium,high,0
low,medium,medium,medium,medium,low,medium,medium,medium,0
medium,medium,medium,medium,low,medium,medium,medium,medium,0
medium,medium,low,medium,low,low,medium,medium,medium,0
medium,medium,medium,medium,low,low,high,medium,medium,0
low,medium,low,high,medium,medium,low,low,medium,0
medium,medium,medium,medium,medium,medium,medium,medium,medium,0
medium,medium,medium,medium,medium,high,medium,medium,low,0
low,medium,low,medium,medium,medium,low,medium,low,0
low,medium,low,high,high,medium,medium,medium,medium,0
medium,high,medium,medium,medium,high,medium,medium,low,0
medium,medium,low,high,medium,medium,medium,medium,medium,0
medium,medium,medium,low,medium,low,medium,medium,medium,0
medium,medium,medium,medium,low,medium,medium,medium,medium,0
medium,medium,medium,medium,medium,medium,medium,low,high,0
low,medium,low,medium,low,low,low,medium,medium,1
medium,medium,low,medium,high,medium,medium,high,medium,1
medium,high,low,high,high,medium,medium,low,medium,1
medium,medium,low,medium,medium,medium,medium,medium,low,1
medium,medium,medium,medium,medium,medium,high,medium,medium,1
medium,medium,low,low,medium,medium,medium,medium,medium,1
medium,low,low,medium,medium,low,medium,medium,medium,1
medium,medium,medium,medium,medium,medium,medium,medium,medium,1
low,high,medium,high,high,low,medium,medium,medium,1
medium,medium,low,medium,low,medium,medium,medium,medium,1
medium,medium,medium,medium,low,medium,medium,high,medium,1
medium,medium,low,medium,medium,medium,medium,medium,medium,1
medium,medium,low,high,medium,medium,medium,high,medium,1
medium,high,medium,medium,medium,medium,high,medium,medium,1
medium,medium,low,medium,medium,low,medium,medium,low,1
medium,medium,low,medium,low,low,medium,low,low,1
medium,medium,medium,medium,medium,high,medium,medium,medium,1
medium,high,low,medium,high,low,medium,medium,low,1
low,low,medium,medium,high,medium,medium,medium,low,1
medium,medium,medium,medium,medium,medium,medium,high,low,1
medium,medium,low,medium,low,medium,medium,medium,medium,1
low,medium,medium,medium,medium,medium,medium,medium,high,1
medium,medium,medium,medium,low,medium,medium,medium,medium,1
low,medium,low,medium,high,low,medium,medium,medium,1
medium,medium,low,medium,high,medium,medium,high,high,1
medium,medium,medium,medium,medium,medium,medium,medium,medium,1
medium,medium,low,medium,low,medium,medium,medium,medium,1
low,medium,low,high,low,medium,medium,medium,low,1
medium,medium,medium,medium,medium,high,low,medium,medium,1
medium,high,medium,medium,high,medium,medium,medium,medium,1
low,medium,low,medium,high,low,medium,low,medium,1
medium,medium,medium,medium,high,medium,medium,medium,medium,1
medium,high,low,medium,medium,medium,medium,medium,low,1
low,low,low,medium,medium,medium,high,low,medium,1
medium,high,low,medium,high,medium,medium,medium,medium,1
low,medium,low,medium,low,low,medium,medium,high,1
medium,medium,medium,medium,low,medium,medium,medium,medium,1
medium,medium,medium,medium,medium,low,medium,low,low,1
medium,high,medium,high,high,medium,medium,medium,medium,1
medium,medium,low,high,high,medium,medium,medium,medium,1
medium,medium,medium,medium,medium,high,high,medium,medium,1
low,high,low,medium,medium,low,low,medium,medium,1
medium,medium,low,medium,low,high,medium,medium,low,1
medium,medium,medium,medium,high,medium,medium,medium,medium,1
medium,medium,medium,medium,low,medium,medium,high,medium,1
medium,medium,low,medium,medium,medium,high,high,medium,1
medium,medium,low,medium,low,medium,medium,low,high,1
medium,medium,medium,high,low,medium,low,medium,high,1
medium,medium,low,medium,high,medium,medium,medium,high,1
low,medium,high,medium,low,medium,medium,medium,medium,1
medium,medium,medium,medium,medium,medium,medium,low,medium,1
medium,medium,low,medium,low,medium,medium,medium,medium,1
medium,medium,low,medium,medium,low,medium,medium,medium,1
medium,medium,low,medium,high,medium,medium,medium,low,1
medium,medium,medium,high,low,low,medium,low,medium,1
medium,medium,low,high,high,medium,medium,medium,medium,1
low,medium,medium,medium,low,medium,medium,medium,medium,1
medium,medium,medium,medium,medium,medium,medium,medium,medium,1
medium,medium,low,medium,medium,low,medium,low,medium,1
medium,high,medium,medium,medium,medium,medium,medium,high,1
medium,medium,low,medium,high,low,medium,medium,medium,1
medium,medium,low,medium,medium,low,medium,medium,medium,1
medium,medium,low,medium,low,low,medium,medium,low,1
medium,high,medium,medium,medium,low,high,medium,medium,1
medium,high,low,medium,medium,low,medium,medium,medium,1
medium,medium,low,medium,medium,medium,medium,medium,medium,1
medium,low,medium,medium,high,medium,medium,medium,high,1
medium,medium,medium,medium,low,medium,medium,high,low,1
medium,low,low,medium,high,low,medium,medium,medium,1
medium,medium,medium,medium,high,medium,medium,medium,medium,1
high,medium,medium,medium,low,medium,medium,medium,medium,1
medium,medium,medium,medium,high,medium,medium,medium,medium,1
medium,high,medium,medium,medium,medium,medium,medium,medium,1
medium,medium,medium,medium,medium,low,medium,medium,medium,1
low,medium,low,high,medium,low,low,medium,high,1
medium,medium,medium,medium,low,medium,low,high,low,1
medium,medium,low,medium,medium,medium,medium,medium,low,1
high,high,low,medium,medium,high,medium,medium,low,1
medium,medium,medium,high,medium,low,medium,low,medium,1
medium,medium,medium,medium,high,medium,medium,high,medium,1
medium,medium,medium,medium,low,low,medium,low,medium,1
medium,medium,medium,medium,medium,medium,medium,high,medium,1
medium,medium,medium,medium,medium,medium,medium,medium,medium,1
low,medium,low,medium,low,medium,low,medium,medium,1
medium,medium,medium,medium,medium,medium,low,medium,medium,1
medium,medium,medium,medium,low,low,medium,low,medium,1
low,medium,medium,medium,high,medium,medium,medium,low,1
medium,medium,low,low,medium,medium,medium,medium,low,1
medium,medium,low,medium,medium,medium,low,high,medium,1
low,low,medium,medium,medium,medium,medium,high,medium,1
medium,medium,medium,medium,medium,medium,low,low,medium,1
medium,medium,low,medium,medium,low,medium,medium,medium,1
medium,medium,low,high,high,medium,low,medium,medium,1
medium,medium,medium,medium,high,low,medium,medium,medium,1
medium,medium,low,medium,high,medium,medium,medium,medium,1
medium,medium,low,medium,high,low,medium,medium,high,1
high,medium,medium,medium,low,low,medium,medium,medium,1
medium,medium,low,medium,medium,medium,medium,high,high,1
low,high,medium,medium,low,low,medium,medium,medium,1
low,medium,medium,medium,low,medium,medium,medium,medium,1
medium,medium,low,medium,low,medium,medium,medium,medium,1
medium,medium,low,medium,low,medium,medium,medium,medium,1
low,low,low,high,high,medium,medium,medium,medium,1
medium,high,medium,medium,low,medium,low,medium,medium,1
medium,medium,low,medium,medium,medium,high,medium,medium,1
low,high,low,medium,medium,medium,medium,medium,medium,1
medium,medium,medium,medium,medium,medium,low,medium,low,1
medium,medium,medium,medium,medium,medium,medium,low,low,1
medium,medium,medium,medium,medium,high,medium,medium,medium,1
medium,high,medium,medium,medium,medium,low,low,high,1
medium,high,medium,medium,medium,medium,high,high,medium,1
low,medium,medium,high,high,medium,low,medium,medium,1
high,high,low,medium,medium,high,medium,medium,medium,1
medium,medium,high,medium,low,medium,medium,medium,medium,1
medium,high,low,medium,high,medium,medium,medium,medium,1
medium,medium,low,medium,medium,medium,medium,medium,medium,1
medium,high,medium,high,medium,medium,medium,medium,low,1
medium,medium,low,medium,high,low,low,medium,medium,1
medium,medium,low,high,high,medium,low,medium,medium,1
medium,medium,low,medium,low,medium,medium,medium,medium,1
medium,medium,medium,medium,medium,medium,medium,medium,medium,1
medium,medium,medium,medium,low,medium,medium,medium,high,1
medium,medium,medium,medium,low,medium,medium,high,low,1
medium,medium,medium,medium,medium,medium,medium,medium,medium,1
medium,medium,medium,medium,medium,medium,medium,high,medium,1
medium,high,medium,medium,low,medium,medium,medium,medium,1
medium,medium,low,medium,high,medium,medium,medium,medium,1
medium,high,low,medium,high,medium,medium,medium,medium,1
medium,medium,low,medium,medium,low,medium,medium,medium,1
medium,medium,medium,medium,medium,medium,high,medium,medium,1
medium,medium,medium,medium,low,low,medium,medium,medium,1
medium,medium,medium,medium,low,high,medium,medium,low,1
medium,medium,low,medium,medium,low,medium,medium,low,1
medium,medium,medium,medium,medium,medium,medium,medium,low,1
medium,high,low,medium,low,medium,low,medium,low,1
medium,medium,low,medium,medium,medium,medium,medium,medium,1
low,medium,medium,medium,medium,medium,low,medium,low,1
medium,medium,medium,medium,low,medium,medium,medium,medium,1
low,medium,medium,medium,medium,medium,medium,medium,low,1
medium,medium,low,medium,high,low,high,medium,low,1
medium,low,low,medium,high,medium,medium,medium,medium,1
low,medium,medium,medium,medium,medium,medium,high,medium,1
medium,medium,medium,medium,low,medium,medium,medium,medium,1
low,medium,low,medium,medium,medium,medium,medium,medium,1
medium,medium,low,high,high,medium,medium,medium,medium,1
medium,medium,low,medium,low,high,medium,medium,medium,1
medium,medium,low,medium,high,low,low,medium,high,1
medium,high,medium,medium,medium,medium,medium,high,low,1
low,medium,medium,medium,medium,low,medium,medium,medium,1
low,medium,low,medium,medium,low,low,medium,medium,1
medium,medium,medium,high,high,medium,medium,medium,medium,1
medium,medium,low,medium,high,low,medium,medium,medium,1
medium,high,medium,medium,medium,medium,medium,medium,medium,1
medium,medium,low,medium,medium,medium,low,medium,medium,1
medium,medium,medium,high,high,high,medium,medium,medium,1
medium,high,low,medium,medium,medium,high,medium,medium,1
medium,high,low,medium,medium,medium,medium,medium,medium,1
low,medium,low,high,low,low,low,medium,medium,1
medium,medium,low,medium,medium,medium,medium,high,medium,1
high,medium,low,medium,low,medium,medium,medium,medium,0
medium,medium,low,medium,medium,medium,medium,medium,low,0
low,medium,medium,medium,medium,low,medium,high,medium,0
medium,medium,low,medium,medium,low,medium,medium,medium,0
medium,medium,low,medium,low,medium,medium,medium,high,0
low,high,low,medium,medium,medium,medium,medium,medium,0
medium,medium,low,medium,low,medium,medium,high,medium,0
medium,medium,medium,medium,low,medium,low,medium,medium,0
high,medium,medium,medium,low,medium,medium,high,low,0
high,low,medium,medium,medium,medium,low,medium,medium,0
low,medium,medium,medium,medium,medium,medium,medium,medium,0
low,medium,low,medium,high,medium,high,medium,medium,0
low,high,medium,medium,medium,medium,medium,medium,low,0
medium,medium,medium,medium,medium,medium,medium,medium,medium,0
medium,medium,low,medium,low,medium,medium,medium,medium,0
medium,medium,medium,medium,medium,medium,low,medium,medium,0
medium,medium,medium,medium,medium,medium,medium,high,low,0
medium,medium,low,medium,high,low,medium,high,medium,0
low,medium,low,medium,medium,high,high,medium,medium,0
medium,medium,low,medium,medium,medium,medium,medium,medium,0
medium,high,low,medium,low,low,medium,medium,medium,0
medium,high,low,medium,low,medium,medium,medium,medium,0
low,medium,medium,medium,low,low,medium,medium,medium,0
low,medium,high,medium,medium,medium,low,high,high,0
low,medium,medium,medium,low,low,medium,medium,low,0
medium,high,low,medium,medium,medium,medium,medium,high,0
high,medium,medium,medium,medium,medium,medium,medium,medium,0
high,medium,low,medium,medium,medium,medium,high,low,0
low,medium,medium,medium,medium,medium,medium,medium,medium,0
medium,medium,low,medium,medium,medium,medium,medium,medium,0
low,medium,low,medium,low,low,medium,low,medium,0
low,medium,low,medium,medium,medium,medium,medium,medium,0
medium,medium,medium,medium,high,low,medium,medium,medium,0
high,medium,low,medium,low,high,medium,low,medium,0
medium,high,medium,medium,medium,low,low,medium,medium,0
medium,medium,low,medium,low,medium,medium,medium,medium,0
low,medium,low,medium,low,medium,medium,medium,medium,0
low,medium,medium,medium,medium,medium,medium,medium,medium,0
medium,high,low,low,medium,low,high,high,medium,0
low,medium,medium,medium,low,medium,medium,medium,medium,0
low,high,low,medium,medium,medium,medium,medium,medium,0
medium,high,low,medium,low,medium,medium,high,medium,0
medium,medium,low,medium,high,low,medium,medium,medium,0
high,medium,low,medium,medium,medium,medium,medium,medium,0
medium,low,medium,medium,high,low,medium,medium,medium,0
low,medium,medium,medium,low,low,medium,medium,medium,0
low,medium,low,medium,medium,medium,low,low,medium,0
medium,medium,medium,medium,medium,high,medium,medium,medium,0
medium,medium,medium,medium,medium,low,medium,medium,medium,0
medium,medium,medium,medium,medium,low,medium,low,medium,0
medium,medium,medium,medium,medium,medium,medium,high,medium,0
medium,medium,low,medium,medium,medium,medium,medium,medium,0
medium,medium,medium,medium,low,medium,medium,low,medium,0
medium,medium,low,medium,medium,high,medium,medium,high,0
medium,medium,medium,medium,medium,medium,medium,medium,medium,0
medium,medium,low,medium,high,high,medium,medium,medium,0
medium,medium,low,medium,high,low,medium,medium,medium,0
high,medium,low,medium,medium,low,medium,low,high,0
medium,medium,medium,medium,medium,medium,medium,medium,high,0
medium,medium,low,medium,medium,medium,medium,medium,medium,0
low,medium,medium,medium,medium,medium,high,low,low,0
medium,medium,low,medium,medium,medium,medium,medium,medium,0
high,low,medium,high,high,medium,medium,medium,low,0
high,medium,low,medium,medium,medium,medium,medium,medium,0
low,high,medium,medium,medium,medium,medium,medium,medium,0
low,medium,medium,medium,medium,medium,high,low,low,0
medium,medium,low,medium,medium,medium,low,medium,medium,0
medium,medium,medium,medium,medium,medium,medium,high,medium,0
low,medium,medium,medium,medium,medium,medium,medium,medium,0
medium,medium,medium,medium,low,medium,medium,medium,medium,0
medium,medium,low,medium,medium,low,medium,low,medium,0
medium,medium,medium,medium,high,medium,medium,medium,medium,0
low,medium,medium,medium,high,medium,high,medium,medium,0
low,medium,medium,medium,medium,medium,medium,medium,medium,0
medium,medium,medium,medium,medium,medium,low,medium,medium,0
high,medium,medium,medium,medium,medium,medium,medium,medium,0
medium,medium,medium,medium,low,medium,low,medium,medium,0
high,medium,low,medium,medium,low,medium,medium,low,0
medium,medium,high,medium,medium,low,medium,medium,medium,0
low,medium,low,medium,medium,low,high,medium,medium,0
medium,medium,low,medium,low,medium,medium,medium,medium,0
medium,medium,medium,medium,medium,medium,medium,low,high,0
medium,medium,medium,medium,medium,medium,medium,medium,medium,0
medium,medium,medium,medium,low,low,medium,medium,medium,0
low,medium,medium,medium,high,medium,medium,low,high,0
medium,medium,low,medium,high,medium,medium,medium,medium,0
medium,medium,medium,medium,medium,medium,low,high,medium,0
low,medium,medium,medium,low,medium,medium,medium,medium,0
low,medium,medium,medium,medium,low,medium,medium,medium,0
medium,medium,low,medium,medium,medium,medium,medium,low,0
low,medium,low,medium,medium,medium,medium,low,low,0
low,medium,medium,medium,high,low,medium,medium,medium,0
medium,medium,medium,medium,medium,medium,medium,high,medium,0
low,medium,medium,medium,high,medium,medium,high,medium,0
medium,medium,low,medium,medium,high,medium,medium,low,0
low,medium,high,medium,low,medium,medium,medium,medium,0
medium,medium,low,medium,medium,low,medium,medium,medium,0
high,medium,low,medium,medium,medium,low,medium,medium,0
medium,medium,low,medium,medium,medium,medium,medium,high,0
low,medium,low,medium,high,low,medium,medium,medium,0
low,medium,high,medium,medium,medium,medium,medium,medium,0
medium,medium,medium,medium,high,low,medium,medium,medium,0
high,medium,low,medium,low,high,medium,medium,medium,0
low,medium,medium,medium,medium,low,medium,medium,medium,0
medium,medium,medium,medium,low,medium,medium,medium,medium,0
medium,medium,low,medium,high,medium,medium,high,low,0
medium,medium,low,high,high,medium,medium,medium,medium,0
medium,medium,medium,medium,high,medium,high,medium,medium,0
medium,high,low,medium,medium,low,medium,medium,medium,0
low,high,medium,medium,medium,medium,low,medium,medium,0
low,high,low,low,low,low,medium,medium,low,0
medium,medium,low,medium,medium,medium,medium,high,low,0
medium,medium,low,medium,medium,medium,medium,medium,medium,0
medium,medium,low,medium,low,medium,medium,medium,medium,0
medium,medium,low,medium,high,medium,medium,high,medium,0
medium,medium,medium,medium,medium,medium,medium,medium,medium,0
medium,medium,medium,medium,low,low,medium,medium,medium,0
